No Agenda,Tanggal,No. Bukti,Sumber Dana,Bank Tujuan,Kriteria CF,Penerima/dari,Uraian,Debet,Kredit,@,Edit Uraian,Revisi Nominal,Nilai Ajuan,Uraian Asli
0043_2026,06/01/2026,19, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Kembayan , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 5 Januari 2026 ,,  712.128.816 ,,,,  712.128.816 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 5 Januari 2026 
0044_2026,06/01/2026,20, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALTIM , Pemasok TBS di PKS Long Pinang , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 5 Januari 2026 ,,  322.099.134 ,,,,  322.099.134 , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 5 Januari 2026 
0045_2026,06/01/2026,21, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALSEL , Pemasok TBS di PKS Pelaihari , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 5 Januari 2026 ,,  147.034.692 ,,,,  147.034.692 , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 5 Januari 2026 
,06/01/2026,22, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,  ,  , Penarikan Dana Tunai Cek JJ 746282 ,,  800.000.000 ,,Penarikan Dana Tunai Cek JJ 746282,  800.000.000 ,  - ,  
,06/01/2026,, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,  ,  , Biaya Administrasi MCM ,,  52.200 ,,Biaya Administrasi MCM,  52.200 ,  - ,  
,06/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,  ,  , Biaya Administrasi MCM ,,  2.500 ,,Biaya Administrasi MCM,  2.500 ,  - ,  
9978_2025,07/01/2026,23, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Mitra Power Perkasa , Permintaan pembayaran Sewa Alat Berat Gawangan Mekanis 368 HM di Afdeling III Kebun Rimba Belian bulan Desember 2025 (Turn Around) sesuai SPK No. 5TAN/SPJ/150/5KRB/X/2025 tgl. 14 Oktober 2025 ,,  193.620.624 ,,,,  193.620.624 , Permintaan pembayaran Sewa Alat Berat Gawangan Mekanis 368 HM di Afdeling III Kebun Rimba Belian bulan Desember 2025 (Turn Around) sesuai SPK No. 5TAN/SPJ/150/5KRB/X/2025 tgl. 14 Oktober 2025 
9908_2025,07/01/2026,24, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Puja Jaya Makmur ," Permintaan pembayaran Pekerjaan Pemeliharaan Tanaman Menghasilkan (TM) seluas 1.199,39 Ha Kebun Danau Salak bulan Nopember 2025 sesuai SPK No. 5TAN/SPJ/113/5KDS/III/2025 tgl. 29 Agustus 2025 ",,  143.317.739 ,,,,  143.317.739 ," Permintaan pembayaran Pekerjaan Pemeliharaan Tanaman Menghasilkan (TM) seluas 1.199,39 Ha Kebun Danau Salak bulan Nopember 2025 sesuai SPK No. 5TAN/SPJ/113/5KDS/III/2025 tgl. 29 Agustus 2025 "
9975_2025,07/01/2026,25, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Koperasi Karyawan Karya Lestari , Permintaan pembayaran Pekerjaan Sewa 1 unit Bulldozer D3 untuk Pembuatan Pasar Pikul Mekanis Areal TM Kebun Danau Salak bulan Nopember 2025 (Turn Around) sesuai SPK No. 5TAN/SPJ/125/5KDS/IX/2025 tgl. 15 September 2025 ,,  296.950.422 ,,,,  296.950.422 , Permintaan pembayaran Pekerjaan Sewa 1 unit Bulldozer D3 untuk Pembuatan Pasar Pikul Mekanis Areal TM Kebun Danau Salak bulan Nopember 2025 (Turn Around) sesuai SPK No. 5TAN/SPJ/125/5KDS/IX/2025 tgl. 15 September 2025 
9949_2025,07/01/2026,26, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Koperasi Karya Lestari , Permintaan pembayaran Pekerjaan Sewa Road Greader dan Vibro Roller untuk Perbaikan Jalan Penghubung Produksi dan Koleksi bulan Nopember 2025 Kebun Danau Salak (Turn Around) sesuai Surat Perjanjian No. 5TAN/SPJ/153/5KDS/X/2025 tgl. 15 Oktober 2025 ,,  302.291.050 ,,,,  302.291.050 , Permintaan pembayaran Pekerjaan Sewa Road Greader dan Vibro Roller untuk Perbaikan Jalan Penghubung Produksi dan Koleksi bulan Nopember 2025 Kebun Danau Salak (Turn Around) sesuai Surat Perjanjian No. 5TAN/SPJ/153/5KDS/X/2025 tgl. 15 Oktober 2025 
10014_2025,07/01/2026,27, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Ngabang sesuai No. PO PaDI UMKM : PO-2025-11-27-370160128 ,,  12.210.000 ,,,,  12.210.000 , Pembayaran atas Alat Panen untuk Kebun Ngabang sesuai No. PO PaDI UMKM : PO-2025-11-27-370160128 
10015_2025,07/01/2026,28, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Ngabang sesuai No. PO PaDI UMKM : PO-2025-11-27-629782016 ,,  18.315.000 ,,,,  18.315.000 , Pembayaran atas Alat Panen untuk Kebun Ngabang sesuai No. PO PaDI UMKM : PO-2025-11-27-629782016 
10016_2025,07/01/2026,29, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Gunung Meliau sesuai No. PO PaDI UMKM : PO-2025-11-27-928285696 ,,  12.210.000 ,,,,  12.210.000 , Pembayaran atas Alat Panen untuk Kebun Gunung Meliau sesuai No. PO PaDI UMKM : PO-2025-11-27-928285696 
10017_2025,07/01/2026,30, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Gunung Meliau sesuai No. PO PaDI UMKM : PO-2025-11-27-366675456 ,,  18.315.000 ,,,,  18.315.000 , Pembayaran atas Alat Panen untuk Kebun Gunung Meliau sesuai No. PO PaDI UMKM : PO-2025-11-27-366675456 
9922_2025,07/01/2026,31, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Kembayan sesuai No. PO PaDI UMKM : PO-2025-11-27-590080000 ,,  12.210.000 ,,,,  12.210.000 , Pembayaran atas Alat Panen untuk Kebun Kembayan sesuai No. PO PaDI UMKM : PO-2025-11-27-590080000 
9923_2025,07/01/2026,32, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Kembayan sesuai No. PO PaDI UMKM : PO-2025-11-27-220178432 ,,  18.315.000 ,,,,  18.315.000 , Pembayaran atas Alat Panen untuk Kebun Kembayan sesuai No. PO PaDI UMKM : PO-2025-11-27-220178432 
9924_2025,07/01/2026,33, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Gunung Emas sesuai No. PO PaDI UMKM : PO-2025-11-27-037265920 ,,  12.210.000 ,,,,  12.210.000 , Pembayaran atas Alat Panen untuk Kebun Gunung Emas sesuai No. PO PaDI UMKM : PO-2025-11-27-037265920 
9925_2025,07/01/2026,34, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Gunung Emas sesuai No. PO PaDI UMKM : PO-2025-11-27-496201848 ,,  18.315.000 ,,,,  18.315.000 , Pembayaran atas Alat Panen untuk Kebun Gunung Emas sesuai No. PO PaDI UMKM : PO-2025-11-27-496201848 
9926_2025,07/01/2026,35, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Parindu sesuai No. PO PaDI UMKM : PO-2025-11-27-146805248 ,,  12.210.000 ,,,,  12.210.000 , Pembayaran atas Alat Panen untuk Kebun Parindu sesuai No. PO PaDI UMKM : PO-2025-11-27-146805248 
9927_2025,07/01/2026,36, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Alat Panen untuk Kebun Kembayan sesuai No. PO PaDI UMKM : PO-2025-11-27-590080000 ,,  18.315.000 ,,,,  18.315.000 , Pembayaran atas Alat Panen untuk Kebun Kembayan sesuai No. PO PaDI UMKM : PO-2025-11-27-590080000 
10020_2025,07/01/2026,37, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Ban Truck untuk Kebun Parindu sesuai No. PO PaDI UMKM : PO-2025-12-19-278020040 ,,  15.651.000 ,,,,  15.651.000 , Pembayaran atas Ban Truck untuk Kebun Parindu sesuai No. PO PaDI UMKM : PO-2025-12-19-278020040 
10021_2025,07/01/2026,38, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Ban Truck untuk Kebun Parindu sesuai No. PO PaDI UMKM : PO-2025-12-19-262724919 ,,  15.651.000 ,,,,  15.651.000 , Pembayaran atas Ban Truck untuk Kebun Parindu sesuai No. PO PaDI UMKM : PO-2025-12-19-262724919 
10034_2025,07/01/2026,39, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Ban Alat Berat untuk Kebun Sungai Dekan sesuai No. PO PaDI UMKM : PO-2025-11-27-710893056 ,,  15.134.184 ,,,,  15.134.184 , Pembayaran atas Ban Alat Berat untuk Kebun Sungai Dekan sesuai No. PO PaDI UMKM : PO-2025-11-27-710893056 
10035_2025,07/01/2026,40, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Ban Alat Berat untuk Kebun Sungai Dekan sesuai No. PO PaDI UMKM : PO-2025-11-27-859546624 ,,  23.443.200 ,,,  23.443.200 ,  25.443.200 , Pembayaran atas Ban Alat Berat untuk Kebun Sungai Dekan sesuai No. PO PaDI UMKM : PO-2025-11-27-859546624 
9948_2025,07/01/2026,41, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Puja Jaya Makmur , Permintaan pembayaran Pekerjaan Pengangkutan Pupuk Areal TM Kebun Danau Salak bulan Nopember 2025 sesuai Surat Perjanjian No. 5KDS/SPK/62.1/XI/2025 tgl. 1 Oktober 2025 ,,  6.128.106 ,,,,  6.128.106 , Permintaan pembayaran Pekerjaan Pengangkutan Pupuk Areal TM Kebun Danau Salak bulan Nopember 2025 sesuai Surat Perjanjian No. 5KDS/SPK/62.1/XI/2025 tgl. 1 Oktober 2025 
9947_2025,07/01/2026,42, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Koperasi Karyawan Karya Lestari , Permintaan pembayaran Pekerjaan Langsir dan Muat TBS Jalan Rusak Kebun Danau Salak bulan Nopember 2025 sesuai Surat Perjanjian No. 5KDS/SPK/61.1/XI/2025 tgl. 1 Nopember 2025 ,,  20.570.616 ,,,,  20.570.616 , Permintaan pembayaran Pekerjaan Langsir dan Muat TBS Jalan Rusak Kebun Danau Salak bulan Nopember 2025 sesuai Surat Perjanjian No. 5KDS/SPK/61.1/XI/2025 tgl. 1 Nopember 2025 
9982_2025,07/01/2026,43, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Koperasi Karyawan Sejahtera PTPN XIII , Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. 5TEP/15/28/OPL/2025 tgl. 19 Nopember 2025 ,,  30.178.680 ,,,,  30.178.680 , Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. 5TEP/15/28/OPL/2025 tgl. 19 Nopember 2025 
9809_2025,07/01/2026,44, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Prakarsa Karya Sejati , Pembayaran rampung atas Sewa Excavator PC 55 di PKS Gunung Meliau Kalimantan Barat sesuai No. Kontrak 091/PKS-PTPN-LOA/X/2025 tgl. 15 September 2025 ,,  46.829.620 ,,,,  46.829.620 , Pembayaran rampung atas Sewa Excavator PC 55 di PKS Gunung Meliau Kalimantan Barat sesuai No. Kontrak 091/PKS-PTPN-LOA/X/2025 tgl. 15 September 2025 
10018_2025,07/01/2026,45, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Ban Alat Berat untuk PKS Ngabang sesuai No. PO PaDI UMKM : PO-2025-12-20-788484632 ,,  19.924.500 ,,,,  19.924.500 , Pembayaran atas Ban Alat Berat untuk PKS Ngabang sesuai No. PO PaDI UMKM : PO-2025-12-20-788484632 
10019_2025,07/01/2026,46, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Ban Alat Berat untuk PKS Ngabang sesuai No. PO PaDI UMKM : PO-2025-12-20-319697105 ,,  24.364.500 ,,,,  24.364.500 , Pembayaran atas Ban Alat Berat untuk PKS Ngabang sesuai No. PO PaDI UMKM : PO-2025-12-20-319697105 
9974_2025,07/01/2026,47, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Xendit/PaDI UMKM , Pembayaran atas Ban Alat Berat untuk PKS Parindu sesuai No. PO PaDI UMKM : PO-2025-12-19-918264116 ,,  24.364.500 ,,,,  24.364.500 , Pembayaran atas Ban Alat Berat untuk PKS Parindu sesuai No. PO PaDI UMKM : PO-2025-12-19-918264116 
9976_2025,07/01/2026,48, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Industri Karet Nusantara , Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. SP/PALM/R5/2025/0065 tgl. 13 Oktober 2025 dan No. SP/PALM/R5/2025/0045 tgl. 21 Mei 2025 ,,  29.004.744 ,,,,  29.004.744 , Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. SP/PALM/R5/2025/0065 tgl. 13 Oktober 2025 dan No. SP/PALM/R5/2025/0045 tgl. 21 Mei 2025 
9921_2025,07/01/2026,49, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Panca Bhakti Raya Utama ," Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. 5TEP/SPJ/01/III/2025 tgl. 3 Maret 2025, No. 5TEP/ADD/5/X/2025 tgl. 10 Oktober 2025, dan No. 5TEP/X/189/X/2025 tgl. 13 Oktober 2025 ",,  70.029.900 ,,,,  70.029.900 ," Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. 5TEP/SPJ/01/III/2025 tgl. 3 Maret 2025, No. 5TEP/ADD/5/X/2025 tgl. 10 Oktober 2025, dan No. 5TEP/X/189/X/2025 tgl. 13 Oktober 2025 "
0008_2026,07/01/2026,50, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,, 50. BARANG DAN JASA KEBUN UNIT , CV Zamzami Sejahtera , Permintaan atas Pembelian Barang dan Jasa sesuai OPL/SPK/SPJB No. 5TEP/15/52/OPL/2025 tgl. 15 Desember 2025 ,,  36.907.500 ,,,,  36.907.500 , Permintaan atas Pembelian Barang dan Jasa sesuai OPL/SPK/SPJB No. 5TEP/15/52/OPL/2025 tgl. 15 Desember 2025 
9977_2025,07/01/2026,51, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Basatu Teguh , Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. 5TEP/SPJ/05/V/2025 tgl. 9 Mei 2025 dan No. 5TEP/X/220/XI/2025 tgl. 25 Nopember 2025 ,,  295.555.815 ,,,,  295.555.815 , Pembayaran atas pembelian barang dan jasa sesuai OPL/SPK/SPJB No. 5TEP/SPJ/05/V/2025 tgl. 9 Mei 2025 dan No. 5TEP/X/220/XI/2025 tgl. 25 Nopember 2025 
9804_2025,07/01/2026,52, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Riset Perkebunan Nusantara ," Permintaan pembayaran Pekerjaan Analisis Teknis, Ekonomi, dan Lingkungan Program Tanaman Ulang Kelapa Sawit Tahun 2025 sesuai SPK No. 5TAN/SPJ/136/5R00/2025 tgl. 26 September 2025 ",,  287.545.589 ,,,,  287.545.589 ," Permintaan pembayaran Pekerjaan Analisis Teknis, Ekonomi, dan Lingkungan Program Tanaman Ulang Kelapa Sawit Tahun 2025 sesuai SPK No. 5TAN/SPJ/136/5R00/2025 tgl. 26 September 2025 "
4026_2025,07/01/2026,53, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Biro Klasifikasi Indonesia (Persero) ," Pembayaran Tahap II (Rampung) atas Pekerjaan Sertifikasi Ijin Operator (SIO) PT Biro Klasifikasi Indonesia (Persero) sesuai Surat Perjanjian Kerjasama (SPK) No. 13.00/SPK/06/V/2021 - B-0668A/SPK/PKC-KI-21 tgl. 07 Mei 2021, Add. I No. 13.00/SPK/10/VII/2021, dan Add. II No. 13.00/SPK/25/IX/2021 - B-1829/SPK/PKC/KI-21 ",,  1.597.491.250 ,,,,  1.597.491.250 ," Pembayaran Tahap II (Rampung) atas Pekerjaan Sertifikasi Ijin Operator (SIO) PT Biro Klasifikasi Indonesia (Persero) sesuai Surat Perjanjian Kerjasama (SPK) No. 13.00/SPK/06/V/2021 - B-0668A/SPK/PKC-KI-21 tgl. 07 Mei 2021, Add. I No. 13.00/SPK/10/VII/2021, dan Add. II No. 13.00/SPK/25/IX/2021 - B-1829/SPK/PKC/KI-21 "
